Rank,Grade,UserName,DisplayName,Tweets,Followers,Following
1,A++,BarackObama,Barack Obama,15787,116271007,606872
2,A++,justinbieber,Justin Bieber,30978,111233474,299586
3,A++,katyperry,KATY PERRY,10632,108503350,223
4,A++,rihanna,Rihanna,10469,96298760,1051
5,A++,taylorswift13,Taylor Swift,441,85941222,0
6,A++,Cristiano,Cristiano Ronaldo,3527,84062362,51
7,A++,ladygaga,Lady Gaga,9134,81258104,123097
8,A++,TheEllenShow,Ellen DeGeneres,21709,80101614,27535
9,A++,realDonaldTrump,Donald J. Trump,50853,78015517,47
10,A++,ArianaGrande,Ariana Grande,46222,72925226,59678
11,A++,YouTube,YouTube at ?,25369,72426313,1086
12,A++,jtimberlake,Justin Timberlake,4238,64781878,299
13,A++,KimKardashian,Kim Kardashian West,32140,64564415,131
14,A++,selenagomez,Selena Gomez,4655,60737426,1135
15,A++,Twitter,Twitter,13470,57774412,1
16,A++,cnnbrk,CNN Breaking News,70258,57461891,120
17,A++,britneyspears,Britney Spears,5639,56144533,377881
18,A+,narendramodi,Narendra Modi,26542,55567181,2367
19,A+,shakira,Shakira,6900,52230253,212
20,A+,jimmyfallon,jimmy fallon,12601,51942853,9801
21,A+,BillGates,Bill Gates,3302,49862920,217
22,A+,CNN,CNN,296715,47421864,1106
23,A+,neymarjr,Neymar Jr,41652,46672837,734
24,A+,nytimes,The New York Times,393442,46298057,904
